,site,ws,wd,units,name,latitude,longitude,dateC
135694,2849,8.11,18.994499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 00:00:00
135695,2849,2.91,34.292301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 01:00:00
135696,2849,0.13,339.513,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 02:00:00
135697,2849,7.28,13.0798,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 03:00:00
135698,2849,1.61,56.868698,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 04:00:00
135699,2849,3.94,26.1537,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 05:00:00
135700,2849,2.1,31.440599,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 06:00:00
135701,2849,1.98,15.3589,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 07:00:00
135702,2849,3.2,27.832399,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 08:00:00
135703,2849,6.25,39.046902,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 09:00:00
135704,2849,3.79,9.4093704,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 10:00:00
135705,2849,2.05,355.91101,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 11:00:00
135706,2849,4.13,355.85199,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 12:00:00
135707,2849,4.43,0.89342999,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 13:00:00
135708,2849,7.26,20.342699,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 14:00:00
135709,2849,3.54,30.804501,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 15:00:00
135710,2849,0.74,325.28799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 16:00:00
135711,2849,1.64,31.9112,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 17:00:00
135712,2849,1.39,47.1917,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 18:00:00
135713,2849,1.82,47.844898,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 19:00:00
135714,2849,2.54,45.639301,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 20:00:00
135715,2849,1.82,43.092499,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 21:00:00
135716,2849,1.58,28.309601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 22:00:00
135717,2849,2.31,38.351799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-01 23:00:00
135718,2849,2.99,37.315601,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-02 00:00:00
135719,2849,1.03,22.4387,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-02 01:00:00
135720,2849,2.64,39.539902,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-02 02:00:00
135721,2849,3.34,41.303799,Miles Per Hour ( mph ),Glendora-Laurel,34.14437,-117.85038,2019-01-02 03:00:00
