site,value,units,name,latitude,longitude,dateC
2899,67,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 0:00
2899,52,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 1:00
2899,44,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 2:00
2899,41,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 3:00
2899,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 4:00
2899,30,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 5:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 6:00
2899,32,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 7:00
2899,18,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 8:00
2899,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 9:00
2899,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 10:00
2899,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 11:00
2899,16,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 12:00
2899,12,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 13:00
2899,16,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 14:00
2899,31,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 15:00
2899,37,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 16:00
2899,30,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 17:00
2899,35,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 18:00
2899,36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 19:00
2899,41,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 20:00
2899,40,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 21:00
2899,43,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 22:00
2899,42,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/1/20 23:00
2899,39,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 0:00
2899,39,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 1:00
2899,38,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 2:00
2899,33,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 3:00
2899,33,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 4:00
2899,37,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 5:00
2899,36,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 6:00
2899,38,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 7:00
2899,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 8:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 9:00
2899,26,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 10:00
2899,20,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Los Angeles-North Main Street,34.06653,-118.22676,1/2/20 11:00
