site,ws,wd,units,name,latitude,longitude,dateC
2956,6.56,336.20001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 0:00
2956,7.49,330.70001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 1:00
2956,5.41,333.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 2:00
2956,5.41,322.60001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 3:00
2956,3.22,323.60001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 4:00
2956,5.18,308.89999,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 5:00
2956,2.53,287.70001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 6:00
2956,2.76,299.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 7:00
2956,5.41,337.10001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 8:00
2956,6.33,329.29999,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 9:00
2956,10.02,332.60001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 10:00
2956,9.1,331.10001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 11:00
2956,8.52,317.79999,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 12:00
2956,7.6,311.10001,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 13:00
2956,8.29,297.89999,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 14:00
2956,5.07,285.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 15:00
2956,2.42,186.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 16:00
2956,7.25,130.89999,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 17:00
2956,5.18,125.2,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 18:00
2956,4.72,127.9,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 19:00
2956,4.26,121.8,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 20:00
2956,4.26,124.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 21:00
2956,2.19,114,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 22:00
2956,2.65,111.9,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/1/19 23:00
2956,3.8,114.6,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/2/19 0:00
2956,3.11,83.300003,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/2/19 1:00
2956,2.65,90.5,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/2/19 2:00
2956,4.61,89.400002,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/2/19 3:00
2956,1.61,84.199997,Miles Per Hour ( mph ),Roseville-N Sunrise Blvd,38.74643,-121.26498,1/2/19 4:00
