,site,value,units,name,latitude,longitude,dateC
8754,3011,5.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 00:00:00
8755,3011,3.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 01:00:00
8756,3011,5.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 02:00:00
8757,3011,4.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 03:00:00
8758,3011,2.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 04:00:00
8759,3011,2.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 05:00:00
8760,3011,1.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 06:00:00
8761,3011,2.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 07:00:00
8762,3011,4.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 08:00:00
8763,3011,6.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 09:00:00
8764,3011,4.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 10:00:00
8765,3011,1.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 11:00:00
8766,3011,0.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 12:00:00
8767,3011,1.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 13:00:00
8768,3011,1.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 14:00:00
8769,3011,1.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 15:00:00
8770,3011,2.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 16:00:00
8771,3011,4.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 17:00:00
8772,3011,17.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 18:00:00
8773,3011,24.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 19:00:00
8774,3011,15.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 20:00:00
8775,3011,18.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 21:00:00
8776,3011,20.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 22:00:00
8777,3011,21.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-01 23:00:00
8778,3011,26.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 00:00:00
8779,3011,29.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 01:00:00
8780,3011,23.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 02:00:00
8781,3011,27.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 03:00:00
8782,3011,22.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 04:00:00
8783,3011,21.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 05:00:00
8784,3011,27.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 06:00:00
8785,3011,49.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 07:00:00
8786,3011,42.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 08:00:00
8787,3011,45.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 09:00:00
8788,3011,38.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 10:00:00
8789,3011,35.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 11:00:00
8790,3011,25.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 12:00:00
8791,3011,30.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 13:00:00
8792,3011,36.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 14:00:00
8793,3011,29.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 15:00:00
8794,3011,29.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 16:00:00
8795,3011,40.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 17:00:00
8796,3011,50.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 18:00:00
8797,3011,52.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 19:00:00
8798,3011,55.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 20:00:00
8799,3011,56.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 21:00:00
8800,3011,63.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 22:00:00
8801,3011,60.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-02 23:00:00
8802,3011,37.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 00:00:00
8803,3011,35.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 01:00:00
8804,3011,38.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 02:00:00
8805,3011,37.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 03:00:00
8806,3011,40.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 04:00:00
8807,3011,41.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 05:00:00
8808,3011,47.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 06:00:00
8809,3011,48.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 07:00:00
8810,3011,30.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 08:00:00
8811,3011,32.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 09:00:00
8812,3011,32.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 10:00:00
8813,3011,25.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 11:00:00
8814,3011,30.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 12:00:00
8815,3011,33.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 13:00:00
8816,3011,24.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 14:00:00
8817,3011,23.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 15:00:00
8818,3011,22.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 16:00:00
8819,3011,30.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 17:00:00
8820,3011,34.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 18:00:00
8821,3011,38.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 19:00:00
8822,3011,42.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 20:00:00
8823,3011,52.3,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 21:00:00
8824,3011,51.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 22:00:00
8825,3011,51.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-03 23:00:00
8826,3011,50.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 00:00:00
8827,3011,52.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 01:00:00
8828,3011,46.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 02:00:00
8829,3011,48.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 03:00:00
8830,3011,42.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 04:00:00
8831,3011,41.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 05:00:00
8832,3011,34.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 06:00:00
8833,3011,47.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 07:00:00
8834,3011,61.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 08:00:00
8835,3011,58.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 09:00:00
8836,3011,54.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 10:00:00
8837,3011,68.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 11:00:00
8838,3011,57.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 12:00:00
8839,3011,55.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 13:00:00
8840,3011,56.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 14:00:00
8841,3011,40.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 15:00:00
8842,3011,42.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 16:00:00
8843,3011,45.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 17:00:00
8844,3011,49.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 18:00:00
8845,3011,56.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 19:00:00
8846,3011,51.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 20:00:00
8847,3011,64.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 21:00:00
8848,3011,66.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 22:00:00
8849,3011,63.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-04 23:00:00
8850,3011,74.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 00:00:00
8851,3011,66.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 01:00:00
8852,3011,60.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 02:00:00
8853,3011,58.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 03:00:00
8854,3011,41.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 04:00:00
8855,3011,31.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 05:00:00
8856,3011,30.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 06:00:00
8857,3011,27.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 07:00:00
8858,3011,40.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 08:00:00
8859,3011,41.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 09:00:00
8860,3011,20.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 10:00:00
8861,3011,10.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 11:00:00
8862,3011,7.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 12:00:00
8863,3011,9.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 13:00:00
8864,3011,8.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 14:00:00
8865,3011,7.7,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 15:00:00
8866,3011,7.4,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 16:00:00
8867,3011,8.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 17:00:00
8868,3011,8.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 18:00:00
8869,3011,8.0,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 19:00:00
8870,3011,12.1,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 20:00:00
8871,3011,8.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 21:00:00
8872,3011,6.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 22:00:00
8873,3011,6.8,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-05 23:00:00
8874,3011,7.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 00:00:00
8875,3011,11.6,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 01:00:00
8876,3011,11.9,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 02:00:00
8877,3011,12.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 03:00:00
8878,3011,13.2,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 04:00:00
8879,3011,10.5,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),Sacramento-T Street,38.56844,-121.49311,2019-01-06 05:00:00
