,site,value,variable,quality,dateC
0,3154,5.3,PMTEOM,0.0,2020-01-01 00:00:00
1,3154,7.7,PMTEOM,0.0,2020-01-01 01:00:00
2,3154,3.9,PMTEOM,0.0,2020-01-01 02:00:00
3,3154,7.7,PMTEOM,0.0,2020-01-01 03:00:00
4,3154,4.2,PMTEOM,0.0,2020-01-01 04:00:00
5,3154,4.7,PMTEOM,0.0,2020-01-01 05:00:00
6,3154,3.6,PMTEOM,0.0,2020-01-01 06:00:00
7,3154,13.4,PMTEOM,0.0,2020-01-01 07:00:00
8,3154,3.6,PMTEOM,0.0,2020-01-01 08:00:00
9,3154,5.1,PMTEOM,0.0,2020-01-01 09:00:00
10,3154,0.6,PMTEOM,0.0,2020-01-01 10:00:00
11,3154,6.3,PMTEOM,0.0,2020-01-01 11:00:00
12,3154,5.9,PMTEOM,0.0,2020-01-01 12:00:00
13,3154,3.6,PMTEOM,0.0,2020-01-01 13:00:00
14,3154,5.0,PMTEOM,0.0,2020-01-01 14:00:00
15,3154,6.5,PMTEOM,0.0,2020-01-01 15:00:00
16,3154,5.2,PMTEOM,0.0,2020-01-01 16:00:00
17,3154,8.3,PMTEOM,0.0,2020-01-01 17:00:00
18,3154,4.6,PMTEOM,0.0,2020-01-01 18:00:00
19,3154,5.3,PMTEOM,0.0,2020-01-01 19:00:00
20,3154,5.9,PMTEOM,0.0,2020-01-01 20:00:00
21,3154,4.9,PMTEOM,0.0,2020-01-01 21:00:00
22,3154,2.6,PMTEOM,0.0,2020-01-01 22:00:00
23,3154,3.8,PMTEOM,0.0,2020-01-01 23:00:00
24,3154,7.4,PMTEOM,0.0,2020-01-02 00:00:00
25,3154,9.3,PMTEOM,0.0,2020-01-02 01:00:00
26,3154,6.8,PMTEOM,0.0,2020-01-02 02:00:00
27,3154,5.6,PMTEOM,0.0,2020-01-02 03:00:00
28,3154,8.3,PMTEOM,0.0,2020-01-02 04:00:00
29,3154,7.4,PMTEOM,0.0,2020-01-02 05:00:00
30,3154,5.6,PMTEOM,0.0,2020-01-02 06:00:00
31,3154,9.5,PMTEOM,0.0,2020-01-02 07:00:00
32,3154,5.2,PMTEOM,0.0,2020-01-02 08:00:00
33,3154,6.4,PMTEOM,0.0,2020-01-02 09:00:00
34,3154,8.3,PMTEOM,0.0,2020-01-02 10:00:00
35,3154,5.9,PMTEOM,0.0,2020-01-02 11:00:00
36,3154,6.4,PMTEOM,0.0,2020-01-02 12:00:00
37,3154,6.3,PMTEOM,0.0,2020-01-02 13:00:00
38,3154,7.8,PMTEOM,0.0,2020-01-02 14:00:00
39,3154,10.2,PMTEOM,0.0,2020-01-02 15:00:00
40,3154,11.8,PMTEOM,0.0,2020-01-02 16:00:00
41,3154,8.7,PMTEOM,0.0,2020-01-02 17:00:00
42,3154,9.4,PMTEOM,0.0,2020-01-02 18:00:00
43,3154,7.1,PMTEOM,0.0,2020-01-02 19:00:00
44,3154,7.3,PMTEOM,0.0,2020-01-02 20:00:00
45,3154,6.5,PMTEOM,0.0,2020-01-02 21:00:00
46,3154,6.2,PMTEOM,0.0,2020-01-02 22:00:00
47,3154,7.1,PMTEOM,0.0,2020-01-02 23:00:00
48,3154,4.8,PMTEOM,0.0,2020-01-03 00:00:00
49,3154,5.8,PMTEOM,0.0,2020-01-03 01:00:00
50,3154,6.6,PMTEOM,0.0,2020-01-03 02:00:00
51,3154,5.5,PMTEOM,0.0,2020-01-03 03:00:00
52,3154,4.5,PMTEOM,0.0,2020-01-03 04:00:00
53,3154,6.8,PMTEOM,0.0,2020-01-03 05:00:00
54,3154,5.4,PMTEOM,0.0,2020-01-03 06:00:00
55,3154,7.1,PMTEOM,0.0,2020-01-03 07:00:00
56,3154,5.5,PMTEOM,0.0,2020-01-03 08:00:00
57,3154,6.9,PMTEOM,0.0,2020-01-03 09:00:00
58,3154,4.7,PMTEOM,0.0,2020-01-03 10:00:00
59,3154,5.6,PMTEOM,0.0,2020-01-03 11:00:00
60,3154,2.5,PMTEOM,0.0,2020-01-03 12:00:00
61,3154,6.3,PMTEOM,0.0,2020-01-03 13:00:00
62,3154,3.2,PMTEOM,0.0,2020-01-03 14:00:00
63,3154,5.2,PMTEOM,0.0,2020-01-03 15:00:00
64,3154,7.1,PMTEOM,0.0,2020-01-03 16:00:00
65,3154,7.6,PMTEOM,0.0,2020-01-03 17:00:00
66,3154,3.8,PMTEOM,0.0,2020-01-03 18:00:00
67,3154,5.5,PMTEOM,0.0,2020-01-03 19:00:00
68,3154,3.8,PMTEOM,0.0,2020-01-03 20:00:00
69,3154,4.7,PMTEOM,0.0,2020-01-03 21:00:00
70,3154,4.6,PMTEOM,0.0,2020-01-03 22:00:00
71,3154,1.9,PMTEOM,0.0,2020-01-03 23:00:00
72,3154,5.4,PMTEOM,0.0,2020-01-04 00:00:00
73,3154,3.9,PMTEOM,0.0,2020-01-04 01:00:00
74,3154,5.0,PMTEOM,0.0,2020-01-04 02:00:00
75,3154,4.0,PMTEOM,0.0,2020-01-04 03:00:00
76,3154,4.0,PMTEOM,0.0,2020-01-04 04:00:00
77,3154,5.7,PMTEOM,0.0,2020-01-04 05:00:00
78,3154,5.2,PMTEOM,0.0,2020-01-04 06:00:00
79,3154,5.0,PMTEOM,0.0,2020-01-04 07:00:00
