pm_value,ws,wd
5.0,7.95,3.5
3.1,6.68,344.10001
5.4,10.02,332.60001
4.4,7.25,324.39999
2.7,8.75,317.29999
2.2,8.52,320.20001
1.4,10.36,332.79999
2.7,6.91,339.39999
4.6,6.33,351.20001
6.7,5.87,349.5
4.3,7.14,342.10001
1.2,7.25,353.20001
0.1,7.37,338.0
1.8,6.56,331.89999
1.8,7.14,329.60001
1.6,4.49,326.20001
2.8,2.76,301.89999
4.1,1.61,289.70001
17.8,1.38,120.7
24.8,2.76,116.8
15.1,2.99,150.3
18.3,2.76,146.7
20.6,2.76,136.10001
21.7,3.34,120.8
26.0,3.22,130.8
29.4,2.53,118.8
23.1,1.73,101.1
27.8,1.84,95.099998
22.1,0.46,44.700001
21.6,0.69,309.20001
27.0,0.12,185.39999
49.5,0.81,283.60001
42.4,1.27,276.39999
45.5,0.35,170.3
38.9,1.84,180.39999
35.4,3.22,168.0
25.7,2.76,167.10001
30.5,1.73,204.2
36.6,2.19,168.8
29.1,1.84,169.5
29.7,1.84,214.0
40.3,1.38,204.39999
50.0,0.69,130.39999
52.9,0.23,339.20001
55.2,1.04,116.8
56.9,0.35,298.39999
63.8,0.69,188.60001
60.8,1.38,93.300003
37.4,2.42,93.699997
35.6,1.61,68.199997
38.0,0.69,57.400002
37.5,0.69,291.89999
40.7,0.58,343.20001
41.2,1.84,335.79999
47.1,0.35,243.0
48.2,1.96,325.29999
30.7,2.53,21.0
32.4,2.76,23.6
32.0,2.88,0.40000001
25.0,2.99,330.5
30.9,3.57,343.5
33.3,4.03,334.60001
24.5,3.57,339.0
23.5,3.45,2.4000001
22.9,2.76,20.700001
30.5,2.19,17.1
34.8,0.81,14.6
38.9,0.46,28.1
42.8,0.23,236.7
52.3,0.46,295.5
51.0,0.69,245.89999
51.4,0.69,224.10001
50.5,0.81,137.10001
52.2,0.12,59.599998
46.1,1.15,133.89999
48.7,0.69,135.2
42.6,1.15,121.2
41.8,0.69,95.5
34.2,0.46,56.900002
47.8,0.69,305.10001
61.7,1.5,288.0
58.9,1.5,294.20001
54.2,0.81,317.89999
68.4,0.46,9.0
57.0,1.27,319.10001
55.9,1.61,241.3
56.8,1.73,199.39999
40.1,1.38,170.0
