site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
3658,1/1/20,0,39,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,1,29,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,2,26,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,3,10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,4,13,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,5,18,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,6,14,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,7,13,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,8,13,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,9,10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,10,6,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,11,6,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,12,8,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,13,18,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,14,26,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,15,8,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,16,6,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,17,7,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,18,8,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,19,6,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,20,9,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,21,8,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,22,5,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/1/20,23,5,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,0,5,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,1,4,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,2,2,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,3,5,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,4,12,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,5,14,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,6,9,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,7,21,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,8,30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,9,10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
3658,1/2/20,10,11,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lancaster-43301 Division Street,34.66959,-118.13068,H,, 
