site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
3762,2020-01-01,0,36.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,1,42.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,2,33.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,3,26.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,4,13.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,5,13.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,6,12.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,7,9.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,8,5.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,9,0.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,10,8.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,11,49.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,12,79.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,13,60.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,14,127.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,15,53.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,16,69.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,17,43.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,18,33.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,19,19.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,20,38.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,21,53.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,22,36.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-01,23,10.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,0,9.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,1,7.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,2,7.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,3,5.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,4,14.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,5,10.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,6,21.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,7,48.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,8,27.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,9,26.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,10,26.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,11,6.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,12,7.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
3762,2020-01-02,13,7.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Arroyo Grande-2391 Willow Road,35.046759999999999,-120.58777000000001,H,, 
