site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
3026,2019-01-01,0,49.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,1,42.50,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,2,50.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,3,32.30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,4,36.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,5,35.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,6,40.30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,7,29.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,8,64.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,9,46.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,10,49.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,11,17.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,12,15.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,13,31.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,14,29.70,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,15,41.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,16,32.90,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,17,60.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,18,41.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,19,72.50,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,20,46.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,21,76.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-01,22,47.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-02,0,45.70,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-02,1,51.90,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
3026,2019-01-02,2,56.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Clovis-N Villa Avenue,36.819313000000001,-119.71638900000001,H,, 
