site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2956,2020-01-01,0,30.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,1,25.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,2,22.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,3,23.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,4,21.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,5,25.90,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,6,19.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,7,17.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,8,19.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,9,19.30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,10,13.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,11,15.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,12,13.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
2956,2020-01-01,13,13.30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Roseville-N Sunrise Blvd,38.746429999999997,-121.26497999999999,H,, 
