site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
3011,2019-01-01,0,5.00,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,1,3.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,2,5.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,3,4.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,4,2.70,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,5,2.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,6,1.40,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,7,2.70,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,8,4.60,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,9,6.70,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,10,4.30,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,11,1.20,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,12,0.10,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
3011,2019-01-01,13,1.80,PMBAM,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Sacramento-T Street,38.568440000000002,-121.49311,H,, 
