site,date,start_hour,ws,wd,variable,units,quality_ws,quality_wd,prelim,met_source,obs_type,minutes,name,latitude,longitude,monitoring_id,flag 
3154,2019-01-01,0,15.20,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,1,18.66,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,2,19.69,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,3,21.00,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,4,17.90,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,5,21.45,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,6,21.41,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,7,21.50,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,8,22.01,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,9,24.00,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,10,23.00,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,11,22.39,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,12,19.86,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,13,18.48,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,14,20.60,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,15,18.50,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,16,16.24,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,17,14.43,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,18,12.16,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,19,7.87,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,20,5.51,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,21,3.39,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,22,1.57,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-01,23,3.74,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,0,4.73,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,1,4.85,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,2,4.97,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,3,5.30,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,4,2.74,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,5,2.84,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,6,2.07,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,7,1.91,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,8,1.32,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,9,1.27,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,10,4.40,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,11,3.82,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,12,4.00,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,13,5.08,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,14,3.67,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,15,1.45,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,16,2.71,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,17,5.06,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,18,7.08,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,19,7.44,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,20,6.42,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,21,6.50,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,22,3.19,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-02,23,4.81,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,0,5.72,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,1,3.88,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,2,1.42,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,3,2.27,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,4,1.35,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,5,3.33,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,6,1.64,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,7,1.94,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,8,3.05,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,9,2.14,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,10,3.29,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,11,4.46,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,12,3.40,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,13,5.03,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,14,2.76,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,15,2.34,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,16,1.28,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,17,1.29,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,18,2.41,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,19,2.60,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,20,2.18,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,21,3.50,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,22,2.39,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-03,23,1.20,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-04,0,2.22,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-04,1,2.49,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
3154,2019-01-04,2,1.92,,SWINSPD,Miles Per Hour ( mph ),0,,,AIRS,A60,0,Keeler-Cerro Gordo Road,36.487850000000002,-117.87103999999999,, 
