site,date,start_hour,ws,wd,variable,units,quality_ws,quality_wd,prelim,met_source,obs_type,minutes,name,latitude,longitude,monitoring_id,flag 
2849,2020-01-01,0,1.61,48.7103,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,1,1.60,43.0172,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,2,1.67,33.606098,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,3,1.64,51.1717,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,4,2.00,40.267899,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,5,1.22,39.950298,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,6,1.27,45.3937,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,7,1.71,37.190498,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,8,1.23,47.468498,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,9,1.88,230.909,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,10,1.46,200.81,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,11,1.68,188.52,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,12,3.24,203.25101,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,13,1.91,233.826,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,14,3.25,223.95799,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,15,1.91,228.907,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,16,0.64,196.726,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,17,1.03,47.523399,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,18,0.70,30.6602,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,19,1.39,37.900398,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,20,1.54,46.219601,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,21,2.09,33.728001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,22,1.80,40.860802,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-01,23,1.97,38.225899,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,0,2.07,34.448399,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,1,1.68,32.803299,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,2,1.65,38.618698,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,3,1.88,36.1003,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,4,2.17,40.184299,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,5,1.93,34.793701,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,6,1.68,40.511101,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,7,1.15,63.2369,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,8,1.02,115.246,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,9,1.38,171.601,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,10,2.65,212.936,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,11,1.60,248.47301,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,12,1.66,256.43399,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,13,1.85,250.597,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,14,1.24,242.59,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
2849,2020-01-02,15,0.38,228.791,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Glendora-Laurel,34.144370000000002,-117.85038,, 
