site,date,start_hour,ws,wd,variable,units,quality_ws,quality_wd,prelim,met_source,obs_type,minutes,name,latitude,longitude,monitoring_id,flag 
2956,1/1/20,0,1.27,67.599998,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,1,1.73,89.900002,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,2,1.73,92.599998,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,3,3.11,96.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,4,2.07,111.9,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,5,1.61,21.799999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,6,2.42,105.1,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,7,3.34,125.9,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,8,2.3,122.9,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,9,0.23,176.39999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,10,3.34,136.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,11,4.83,132.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,12,3.45,145.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,13,1.5,359,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,14,3.68,293.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,15,6.33,301.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,16,4.95,310,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,17,3.34,313.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,18,2.07,346.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,19,2.65,325.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,20,0.81,354.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,21,1.15,305.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,22,2.07,349.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/1/20,23,0.81,358.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/2/20,0,2.42,12.4,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/2/20,1,1.5,341.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/2/20,2,0.81,319.79999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/2/20,3,2.07,8.6999998,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
2956,1/2/20,4,1.96,322.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Roseville-N Sunrise Blvd,38.74643,-121.26498,, 
