site,date,start_hour,ws,wd,variable,units,quality_ws,quality_wd,prelim,met_source,obs_type,minutes,name,latitude,longitude,monitoring_id,flag 
3011,2020-01-01,0,1.04,109.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,1,1.38,106.4,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,2,1.38,89.400002,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,3,1.50,155.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,4,1.27,165.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,5,0.81,273.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,6,2.42,98.400002,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,7,3.11,152,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,8,4.14,166.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,9,2.76,158.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,10,2.53,160.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,11,3.22,163.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,12,2.53,180.39999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,13,2.07,324.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,14,3.68,303.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,15,5.06,308.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,16,3.11,318.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,17,1.27,311,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,18,1.15,11.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,19,2.30,354.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,20,1.96,289.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,21,2.30,298.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,22,1.96,335,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-01,23,2.42,7.6999998,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-02,0,0.58,41.299999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-02,1,0.69,339.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
3011,2020-01-02,2,1.27,313.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,Sacramento-T Street,38.568440000000002,-121.49311,, 
