site,date,start_hour,ws,wd,variable,units,quality_ws,quality_wd,prelim,met_source,obs_type,minutes,name,latitude,longitude,monitoring_id,flag 
2948,1/1/20,0,0.69,138.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,1,2.42,177.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,2,2.42,172,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,3,1.27,137.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,4,2.88,176.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,5,2.07,159.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,6,1.27,146.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,7,3.22,179.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,8,1.84,164.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,9,0.58,203.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,10,4.26,300,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,11,4.03,295,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,12,2.65,269.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,13,5.75,309.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,14,3.11,301.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,15,2.99,237,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,16,1.84,239.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,17,2.07,186.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,18,2.42,189.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,19,1.96,167.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,20,2.07,175.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,21,2.53,174.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,22,2.53,168.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/1/20,23,2.99,182.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,0,2.99,178.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,1,3.22,178.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,2,2.19,151.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,3,1.96,165.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,4,1.96,148.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,5,2.65,178.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,6,2.19,168,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,7,2.07,156.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,8,1.84,164.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,9,0.92,139.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,10,0.23,12.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,11,3.34,312.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,12,3.11,315.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,13,2.42,349.79999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,14,2.07,319.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,15,1.84,305.79999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,16,0.35,255.39999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,17,1.84,176.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,18,1.96,164,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,19,2.65,172.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,20,1.84,159.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,21,2.53,176.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,22,2.99,172.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/2/20,23,1.27,174,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,0,2.3,176.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,1,1.73,171.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,2,2.19,174.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,3,1.96,165.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,4,1.84,165.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,5,1.5,168,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,6,1.84,175.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,7,2.3,176.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,8,1.27,153.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,9,0.46,152.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,10,1.73,318,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,11,2.76,334.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,12,3.22,320.89999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,13,2.19,348.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,14,2.88,311.29999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,15,2.07,338.20001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,16,1.04,233.3,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,17,1.15,138,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,18,1.61,161.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,19,3.68,223.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,20,4.6,215.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,21,4.83,184.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,22,3.8,154.2,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/3/20,23,4.03,177.60001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,0,5.06,179.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,1,4.37,183.8,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,2,6.33,198.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,3,7.25,201.5,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,4,9.21,213.39999,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,5,9.09,211.10001,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
2948,1/4/20,6,7.82,222.7,WINSPD,Miles Per Hour ( mph ),0,0,,AIRS,A60,0,South Lake Tahoe-Sandy Way,38.944979,-119.970609,, 
